balls,strikes,outs,is_first_base,is_second_base,is_third_base,total_runs,count,average_runs,0 runs,1 runs,2 runs,3 runs,4 runs,5 runs,6 runs,7 runs,8 runs,9 runs,10 runs,11 runs,12 runs,13 runs
2,0,1,False,False,False,1287,3678,0.34991843393148453,2961,394,182,79,32,18,10,2,0,0,0,0,0,0
2,0,1,False,False,True,199,184,1.0815217391304348,58,85,21,12,5,2,1,0,0,0,0,0,0,0
2,0,1,False,True,False,497,627,0.7926634768740032,350,149,71,35,12,8,1,1,0,0,0,0,0,0
2,0,1,False,True,True,271,173,1.5664739884393064,46,43,49,19,8,7,1,0,0,0,0,0,0,0
2,0,1,True,False,False,886,1378,0.6429608127721336,958,159,137,72,33,13,4,0,2,0,0,0,0,0
2,0,1,True,False,True,266,198,1.3434343434343434,61,79,22,11,18,5,1,1,0,0,0,0,0,0
2,0,1,True,True,False,553,504,1.0972222222222223,265,92,52,51,26,11,4,3,0,0,0,0,0,0
2,0,1,True,True,True,262,149,1.7583892617449663,34,48,27,18,12,5,3,1,1,0,0,0,0,0
2,0,2,False,False,False,414,2912,0.14217032967032966,2642,180,57,19,8,5,1,0,0,0,0,0,0,0
2,0,2,False,False,True,140,320,0.4375,223,66,22,7,1,1,0,0,0,0,0,0,0,0
2,0,2,False,True,False,336,805,0.41739130434782606,606,113,51,24,7,3,1,0,0,0,0,0,0,0
2,0,2,False,True,True,160,217,0.7373271889400922,147,19,27,13,8,2,1,0,0,0,0,0,0,0
2,0,2,True,False,False,463,1400,0.33071428571428574,1166,96,81,36,13,5,1,2,0,0,0,0,0,0
2,0,2,True,False,True,138,272,0.5073529411764706,199,36,18,14,3,1,0,1,0,0,0,0,0,0
2,0,2,True,True,False,405,646,0.6269349845201239,463,70,44,39,22,6,2,0,0,0,0,0,0,0
2,0,2,True,True,True,247,209,1.1818181818181819,99,49,22,18,12,5,1,3,0,0,0,0,0,0
2,1,0,False,False,False,4251,8029,0.5294557230041101,5760,1144,629,287,112,60,26,6,3,2,0,0,0,0
2,1,0,False,False,True,83,56,1.4821428571428572,11,26,8,7,1,2,1,0,0,0,0,0,0,0
2,1,0,False,True,False,623,536,1.162313432835821,206,171,86,40,18,7,4,3,1,0,0,0,0,0
2,1,0,False,True,True,191,95,2.0105263157894737,18,15,36,10,10,3,2,1,0,0,0,0,0,0
2,1,0,True,False,False,1591,1651,0.9636583888552392,925,278,228,102,72,22,17,6,0,1,0,0,0,0
2,1,0,True,False,True,240,124,1.935483870967742,19,47,20,18,10,6,1,2,0,1,0,0,0,0
2,1,0,True,True,False,617,421,1.4655581947743468,167,87,60,53,35,12,5,1,0,0,0,0,0,0
2,1,0,True,True,True,243,100,2.43,13,20,32,12,9,3,7,3,0,1,0,0,0,0
2,1,1,False,False,False,1801,6112,0.29466623036649214,5067,602,260,106,43,20,9,5,0,0,0,0,0,0
2,1,1,False,False,True,281,307,0.9153094462540716,111,143,33,13,4,1,2,0,0,0,0,0,0,0
2,1,1,False,True,False,658,958,0.6868475991649269,588,218,71,49,19,7,3,2,1,0,0,0,0,0
2,1,1,False,True,True,372,261,1.4252873563218391,87,59,68,22,17,6,1,1,0,0,0,0,0,0
2,1,1,True,False,False,1164,2052,0.5672514619883041,1507,193,196,81,49,18,7,0,1,0,0,0,0,0
2,1,1,True,False,True,341,271,1.2583025830258303,98,96,30,20,16,7,3,0,1,0,0,0,0,0
2,1,1,True,True,False,701,743,0.9434724091520862,439,110,78,63,32,11,7,3,0,0,0,0,0,0
2,1,1,True,True,True,368,224,1.6428571428571428,73,58,31,25,21,7,9,0,0,0,0,0,0,0
