balls,strikes,outs,is_first_base,is_second_base,is_third_base,run_value
3,0,1,False,False,True,0.22648543957944245
3,0,1,False,True,False,0.12190163449494273
3,0,1,False,True,True,0.12046137642253463
3,0,1,True,False,False,0.21851972291891963
3,0,1,True,False,True,0.05539421120996013
3,0,1,True,True,False,0.3821144537998227
3,0,1,True,True,True,0.6699706102691179
3,0,2,False,False,False,0.0660393979704178
3,0,2,False,False,True,0.06464689968909404
3,0,2,False,True,False,0.036667259465992696
3,0,2,False,True,True,0.149281766548659
3,0,2,True,False,False,0.1509360720004997
3,0,2,True,False,True,0.1714239281844916
3,0,2,True,True,False,0.17104284138138637
3,0,2,True,True,True,0.6443330766491955
3,1,0,False,False,False,0.3242088422741395
3,1,0,False,False,True,0.37843122258762807
3,1,0,False,True,False,0.3572285356019529
3,1,0,False,True,True,0.3855542602260631
3,1,0,True,False,False,0.46666859495367286
3,1,0,True,False,True,0.4527689539507298
3,1,0,True,True,False,0.6221021709205843
3,1,0,True,True,True,0.8146437173554166
3,1,1,False,False,False,0.21089737917628093
3,1,1,False,False,True,0.27121347113328576
3,1,1,False,True,False,0.21731655675636719
3,1,1,False,True,True,0.22538094370386852
3,1,1,True,False,False,0.33904045406188077
3,1,1,True,False,True,0.43412109142467514
3,1,1,True,True,False,0.5508775028824489
3,1,1,True,True,True,0.7667876229206525
3,1,2,False,False,False,0.09531478175059957
3,1,2,False,False,True,0.15377113895254502
3,1,2,False,True,False,0.13651965670913918
3,1,2,False,True,True,0.27318715495105383
3,1,2,True,False,False,0.1988360177277032
3,1,2,True,False,True,0.27417628131659155
3,1,2,True,True,False,0.2876349003109566
3,1,2,True,True,True,0.8299839614785194
3,2,0,False,False,False,0.6281463327469319
3,2,0,False,False,True,0.8898951822520976
3,2,0,False,True,False,0.8249602085784683
3,2,0,False,True,True,0.9115583267180483
3,2,0,True,False,False,0.9757073415419069
3,2,0,True,False,True,1.1187396600992632
3,2,0,True,True,False,1.3775058459215401
3,2,0,True,True,True,1.7292678155748127
3,2,1,False,False,False,0.4275965619849351
3,2,1,False,False,True,0.8525400604713503
3,2,1,False,True,False,0.6137995559767886
3,2,1,False,True,True,0.9905117270788913
3,2,1,True,False,False,0.7124032748303734
3,2,1,True,False,True,1.0859442503265275
3,2,1,True,True,False,1.1314939256487522
3,2,1,True,True,True,1.8105573740953183
3,2,2,False,False,False,0.23210922787193974
3,2,2,False,False,True,0.506806282722513
3,2,2,False,True,False,0.46125660740028834
3,2,2,False,True,True,0.7821931589537223
3,2,2,True,False,False,0.46125660740028834
3,2,2,True,False,True,0.7821931589537223
3,2,2,True,True,False,0.7821931589537223
3,2,2,True,True,True,1.7821931589537223
